ENTITY;Currency;Alphabetic Code;Numeric Code;Minor unit
PORTUGAL;Euro;EUR;978;2
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE);Pound Sterling;GBP;826;2
